Index,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,WindDirDegrees,energyConsumption,Date
0,8.3,2.2,66.0,1018.3,16.1,280.0,24.92155,2012-01-01 00:00:00
1,7.8,2.2,68.0,1018.5,16.1,290.0,24.75485,2012-01-01 01:00:00
2,6.1,1.7,74.0,1018.7,16.1,240.0,24.6715,2012-01-01 02:00:00
3,3.9,1.1,82.0,1019.1,16.1,0.0,24.75485,2012-01-01 03:00:00
4,,,,,,,24.75485,2012-01-01 04:00:00
5,1.7,0.6,92.0,1019.6,14.5,0.0,25.0049,2012-01-01 05:00:00
6,2.2,0.6,89.0,1019.9,12.9,210.0,25.58835,2012-01-01 06:00:00
7,2.2,1.1,93.0,1020.2,9.7,0.0,25.25495,2012-01-01 07:00:00
8,5.0,2.8,86.0,1020.1,16.1,0.0,25.42165,2012-01-01 08:00:00
9,8.3,3.3,71.0,1019.6,16.1,0.0,26.42185,2012-01-01 09:00:00
10,10.6,3.9,63.0,1018.4,16.1,180.0,27.172,2012-01-01 10:00:00
11,11.7,3.3,57.0,1016.7,16.1,190.0,27.58875,2012-01-01 11:00:00
12,,,,,,,27.8388,2012-01-01 12:00:00
13,12.8,3.3,53.0,1012.8,16.1,0.0,27.6721,2012-01-01 13:00:00
14,12.8,3.3,53.0,1011.4,16.1,190.0,27.58875,2012-01-01 14:00:00
15,11.1,3.9,61.0,1011.3,16.1,170.0,27.08865,2012-01-01 15:00:00
16,11.1,4.4,63.0,1009.7,16.1,160.0,26.3385,2012-01-01 16:00:00
17,10.6,5.0,68.0,1009.1,16.1,180.0,26.3385,2012-01-01 17:00:00
18,10.6,5.6,71.0,1008.2,16.1,170.0,26.0051,2012-01-01 18:00:00
19,10.0,7.2,83.0,1007.3,14.5,170.0,26.0051,2012-01-01 19:00:00
20,10.0,7.2,83.0,1006.5,16.1,190.0,26.0051,2012-01-01 20:00:00
21,12.8,6.1,64.0,1006.6,16.1,240.0,25.3383,2012-01-01 21:00:00
22,11.7,5.6,66.0,1007.0,16.1,260.0,25.3383,2012-01-01 22:00:00
23,,,,,,,25.3383,2012-01-01 23:00:00
24,,,,,,,25.1716,2012-01-02 00:00:00
25,7.8,-2.2,50.0,1007.8,16.1,270.0,25.1716,2012-01-02 01:00:00
26,7.2,-3.3,48.0,1008.3,16.1,270.0,25.42165,2012-01-02 02:00:00
27,6.1,-5.0,45.0,1008.1,16.1,270.0,25.1716,2012-01-02 03:00:00
28,5.6,-3.9,51.0,1008.0,16.1,280.0,25.25495,2012-01-02 04:00:00
29,3.9,-11.7,32.0,1009.1,16.1,270.0,28.42225,2012-01-02 05:00:00
30,2.8,-12.8,31.0,1009.9,16.1,270.0,34.3400916667,2012-01-02 06:00:00
31,2.8,-11.7,34.0,1010.4,16.1,280.0,35.8404,2012-01-02 07:00:00
32,2.8,-10.6,37.0,1011.0,16.1,260.0,35.42365,2012-01-02 08:00:00
33,3.3,-9.4,39.0,1011.2,16.1,260.0,35.75705,2012-01-02 09:00:00
34,,,,,,,35.42365,2012-01-02 10:00:00
35,3.9,-9.4,38.0,1009.5,16.1,260.0,35.507,2012-01-02 11:00:00
36,4.4,-10.0,35.0,1009.0,16.1,280.0,35.59035,2012-01-02 12:00:00
37,4.4,-10.0,35.0,1008.6,16.1,300.0,35.75705,2012-01-02 13:00:00
38,3.9,-9.4,38.0,1008.7,16.1,280.0,35.8404,2012-01-02 14:00:00
39,3.9,-9.4,38.0,1009.5,16.1,280.0,35.75705,2012-01-02 15:00:00
40,3.3,-7.8,45.0,1010.3,16.1,280.0,36.1738,2012-01-02 16:00:00
41,2.8,-8.3,44.0,1011.2,16.1,250.0,36.42385,2012-01-02 17:00:00
42,2.2,-8.3,46.0,1011.6,16.1,250.0,32.8398,2012-01-02 18:00:00
43,2.2,-8.3,46.0,1011.6,16.1,250.0,30.6727,2012-01-02 19:00:00
44,1.7,-7.8,50.0,1011.6,16.1,250.0,30.08925,2012-01-02 20:00:00
45,1.1,-8.3,50.0,1011.6,16.1,260.0,28.58895,2012-01-02 21:00:00
46,1.1,-7.8,52.0,1011.6,16.1,260.0,27.25535,2012-01-02 22:00:00
47,0.6,-7.8,54.0,1011.4,16.1,270.0,26.5052,2012-01-02 23:00:00
48,0.0,-7.2,59.0,1011.4,16.1,260.0,26.5052,2012-01-03 00:00:00
49,0.0,-7.8,56.0,1011.5,16.1,280.0,26.3385,2012-01-03 01:00:00
50,-0.6,-8.3,57.0,1011.5,16.1,280.0,26.5052,2012-01-03 02:00:00
51,-1.1,-8.9,56.0,1011.4,16.1,290.0,26.6719,2012-01-03 03:00:00
52,-1.1,-8.9,56.0,1011.7,16.1,290.0,26.8386,2012-01-03 04:00:00
53,-1.7,-8.9,58.0,1012.2,16.1,300.0,31.58955,2012-01-03 05:00:00
54,-2.2,-8.9,61.0,1012.8,16.1,300.0,39.3410583333,2012-01-03 06:00:00
55,-2.2,-9.4,58.0,1013.5,16.1,0.0,43.1751,2012-01-03 07:00:00
56,-1.7,-11.7,47.0,1014.1,16.1,320.0,47.5093,2012-01-03 08:00:00
57,-1.7,-13.9,40.0,1014.1,16.1,330.0,53.09375,2012-01-03 09:00:00
58,-1.1,-15.0,35.0,1013.9,16.1,310.0,54.92745,2012-01-03 10:00:00
59,-1.7,-13.9,40.0,1013.5,16.1,320.0,56.011,2012-01-03 11:00:00
60,-2.2,-15.0,38.0,1013.7,16.1,300.0,56.59445,2012-01-03 12:00:00
61,-2.2,-16.7,33.0,1014.5,16.1,320.0,55.8443,2012-01-03 13:00:00
62,-2.2,-16.7,33.0,1015.0,16.1,320.0,54.8441,2012-01-03 14:00:00
63,-3.3,-18.9,30.0,1016.2,16.1,340.0,54.344,2012-01-03 15:00:00
64,-3.9,-18.9,31.0,1017.9,16.1,340.0,52.1769,2012-01-03 16:00:00
65,-5.0,-17.8,37.0,1019.0,16.1,340.0,48.59285,2012-01-03 17:00:00
66,-5.0,-17.8,37.0,1020.5,16.1,340.0,41.9248583333,2012-01-03 18:00:00
